story,subject,roi,lag,r
lucy,sub-026,"Superior Temporal Gyrus, anterior division",0,0.16408050610123495
lucy,sub-026,"Superior Temporal Gyrus, anterior division",1,0.16549053827790916
lucy,sub-026,"Superior Temporal Gyrus, anterior division",2,0.1665798870321232
lucy,sub-026,"Superior Temporal Gyrus, anterior division",3,0.16752367850179062
lucy,sub-026,"Superior Temporal Gyrus, anterior division",4,0.16827293478053207
lucy,sub-026,"Superior Temporal Gyrus, anterior division",5,0.16890721588084365
lucy,sub-026,"Superior Temporal Gyrus, anterior division",6,0.1695346888962575
lucy,sub-026,"Superior Temporal Gyrus, posterior division",0,0.15308065168053614
lucy,sub-026,"Superior Temporal Gyrus, posterior division",1,0.1491149415262953
lucy,sub-026,"Superior Temporal Gyrus, posterior division",2,0.1452198351306115
lucy,sub-026,"Superior Temporal Gyrus, posterior division",3,0.14101065581130928
lucy,sub-026,"Superior Temporal Gyrus, posterior division",4,0.13665745185943104
lucy,sub-026,"Superior Temporal Gyrus, posterior division",5,0.1321002725389463
lucy,sub-026,"Superior Temporal Gyrus, posterior division",6,0.12749279900362723
lucy,sub-026,"Middle Temporal Gyrus, anterior division",0,0.24085981043554278
lucy,sub-026,"Middle Temporal Gyrus, anterior division",1,0.2384202109211655
lucy,sub-026,"Middle Temporal Gyrus, anterior division",2,0.23586893776511533
lucy,sub-026,"Middle Temporal Gyrus, anterior division",3,0.23317761714979923
lucy,sub-026,"Middle Temporal Gyrus, anterior division",4,0.23020464822641568
lucy,sub-026,"Middle Temporal Gyrus, anterior division",5,0.2272318884959595
lucy,sub-026,"Middle Temporal Gyrus, anterior division",6,0.22403155261206797
lucy,sub-026,"Middle Temporal Gyrus, posterior division",0,0.24123718547534567
lucy,sub-026,"Middle Temporal Gyrus, posterior division",1,0.24099159543079834
lucy,sub-026,"Middle Temporal Gyrus, posterior division",2,0.24046007941543704
lucy,sub-026,"Middle Temporal Gyrus, posterior division",3,0.23971043565389047
lucy,sub-026,"Middle Temporal Gyrus, posterior division",4,0.23882323503385355
lucy,sub-026,"Middle Temporal Gyrus, posterior division",5,0.23786576257645434
lucy,sub-026,"Middle Temporal Gyrus, posterior division",6,0.23676070410047634
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",0,0.05013775138398622
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",1,0.05248410636417375
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",2,0.054997600270940084
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",3,0.05709329233729967
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",4,0.05939919875039329
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",5,0.06355440004181612
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",6,0.06734381152883323
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",0,-0.05048206447755613
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",1,-0.04851226836608388
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",2,-0.046518676141644386
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",3,-0.0444884721099314
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",4,-0.04241979969746869
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",5,-0.03966062037221674
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",6,-0.03681460780634237
lucy,sub-026,Angular Gyrus,0,0.22113744213243933
lucy,sub-026,Angular Gyrus,1,0.22497837240535237
lucy,sub-026,Angular Gyrus,2,0.22863057448433655
lucy,sub-026,Angular Gyrus,3,0.23217826693386617
lucy,sub-026,Angular Gyrus,4,0.2356604626607544
lucy,sub-026,Angular Gyrus,5,0.23907445168639066
lucy,sub-026,Angular Gyrus,6,0.24322188670666553
lucy,sub-026,"Supramarginal Gyrus, anterior division",0,0.06129558282461424
lucy,sub-026,"Supramarginal Gyrus, anterior division",1,0.06407412581639366
lucy,sub-026,"Supramarginal Gyrus, anterior division",2,0.06630631121860488
lucy,sub-026,"Supramarginal Gyrus, anterior division",3,0.06858612030974102
lucy,sub-026,"Supramarginal Gyrus, anterior division",4,0.07062497466484337
lucy,sub-026,"Supramarginal Gyrus, anterior division",5,0.07271887228493008
lucy,sub-026,"Supramarginal Gyrus, anterior division",6,0.07501483809425874
lucy,sub-026,"Supramarginal Gyrus, posterior division",0,0.07265618769913224
lucy,sub-026,"Supramarginal Gyrus, posterior division",1,0.07613068253825549
lucy,sub-026,"Supramarginal Gyrus, posterior division",2,0.07919291463629519
lucy,sub-026,"Supramarginal Gyrus, posterior division",3,0.08225145975882697
lucy,sub-026,"Supramarginal Gyrus, posterior division",4,0.08509347374512215
lucy,sub-026,"Supramarginal Gyrus, posterior division",5,0.0881368330991092
lucy,sub-026,"Supramarginal Gyrus, posterior division",6,0.0914616289314173
lucy,sub-026,Frontal Pole,0,0.2285147949790552
lucy,sub-026,Frontal Pole,1,0.2288840809106441
lucy,sub-026,Frontal Pole,2,0.22910843114215612
lucy,sub-026,Frontal Pole,3,0.22923489013686027
lucy,sub-026,Frontal Pole,4,0.22909345688902763
lucy,sub-026,Frontal Pole,5,0.22882739030874077
lucy,sub-026,Frontal Pole,6,0.22835464850797008
lucy,sub-026,Precuneous Cortex,0,0.17280474141938956
lucy,sub-026,Precuneous Cortex,1,0.17612753658655536
lucy,sub-026,Precuneous Cortex,2,0.1793023712771868
lucy,sub-026,Precuneous Cortex,3,0.182330983546078
lucy,sub-026,Precuneous Cortex,4,0.18534328026576183
lucy,sub-026,Precuneous Cortex,5,0.1881091098139413
lucy,sub-026,Precuneous Cortex,6,0.19078107550748166
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",0,0.2741318125499127
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",1,0.2726015736158923
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",2,0.2706735257230396
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",3,0.26856976796777254
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",4,0.26627404309677555
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",5,0.26415258663403873
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",6,0.2624993582429585
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",0,0.2669581923334997
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",1,0.26592854085437534
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",2,0.26463296214388193
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",3,0.26312937712002293
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",4,0.2616188753034342
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",5,0.25988105927428745
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",6,0.258340766278753
lucy,sub-026,"Parahippocampal Gyrus, anterior division",0,0.2924447888753767
lucy,sub-026,"Parahippocampal Gyrus, anterior division",1,0.2928839763420634
lucy,sub-026,"Parahippocampal Gyrus, anterior division",2,0.2929300942302332
lucy,sub-026,"Parahippocampal Gyrus, anterior division",3,0.29277357187429176
lucy,sub-026,"Parahippocampal Gyrus, anterior division",4,0.292426534797372
lucy,sub-026,"Parahippocampal Gyrus, anterior division",5,0.29192052240391664
lucy,sub-026,"Parahippocampal Gyrus, anterior division",6,0.2920399804815957
lucy,sub-026,"Parahippocampal Gyrus, posterior division",0,0.209632486566635
lucy,sub-026,"Parahippocampal Gyrus, posterior division",1,0.21068424072094458
lucy,sub-026,"Parahippocampal Gyrus, posterior division",2,0.21158092808359108
lucy,sub-026,"Parahippocampal Gyrus, posterior division",3,0.21241704721502655
lucy,sub-026,"Parahippocampal Gyrus, posterior division",4,0.2131524600065967
lucy,sub-026,"Parahippocampal Gyrus, posterior division",5,0.21378663564721734
lucy,sub-026,"Parahippocampal Gyrus, posterior division",6,0.21417234121112394
lucy,sub-026,"Cingulate Gyrus, anterior division",0,0.17055387556808438
lucy,sub-026,"Cingulate Gyrus, anterior division",1,0.17161602990374814
lucy,sub-026,"Cingulate Gyrus, anterior division",2,0.17250520053207427
lucy,sub-026,"Cingulate Gyrus, anterior division",3,0.1731689152996369
lucy,sub-026,"Cingulate Gyrus, anterior division",4,0.1736821395922294
lucy,sub-026,"Cingulate Gyrus, anterior division",5,0.17406567670026235
lucy,sub-026,"Cingulate Gyrus, anterior division",6,0.17431124820320673
lucy,sub-026,"Cingulate Gyrus, posterior division",0,0.15702258870115599
lucy,sub-026,"Cingulate Gyrus, posterior division",1,0.15917050538336452
lucy,sub-026,"Cingulate Gyrus, posterior division",2,0.161105041603606
lucy,sub-026,"Cingulate Gyrus, posterior division",3,0.16287652285340512
lucy,sub-026,"Cingulate Gyrus, posterior division",4,0.16455390563325806
lucy,sub-026,"Cingulate Gyrus, posterior division",5,0.16606173586019352
lucy,sub-026,"Cingulate Gyrus, posterior division",6,0.16742943747850886
lucy,sub-041,"Superior Temporal Gyrus, anterior division",0,0.17814679685320883
lucy,sub-041,"Superior Temporal Gyrus, anterior division",1,0.16672224780897626
lucy,sub-041,"Superior Temporal Gyrus, anterior division",2,0.15555636043620322
lucy,sub-041,"Superior Temporal Gyrus, anterior division",3,0.14451853715265428
lucy,sub-041,"Superior Temporal Gyrus, anterior division",4,0.13319797542742257
lucy,sub-041,"Superior Temporal Gyrus, anterior division",5,0.12214984906163777
lucy,sub-041,"Superior Temporal Gyrus, anterior division",6,0.11106814905028059
lucy,sub-041,"Superior Temporal Gyrus, posterior division",0,-0.3828291928022236
lucy,sub-041,"Superior Temporal Gyrus, posterior division",1,-0.39533293474376274
lucy,sub-041,"Superior Temporal Gyrus, posterior division",2,-0.4074396422805764
lucy,sub-041,"Superior Temporal Gyrus, posterior division",3,-0.41932691801613403
lucy,sub-041,"Superior Temporal Gyrus, posterior division",4,-0.4308516992274699
lucy,sub-041,"Superior Temporal Gyrus, posterior division",5,-0.44205012694842283
lucy,sub-041,"Superior Temporal Gyrus, posterior division",6,-0.45317777800367415
lucy,sub-041,"Middle Temporal Gyrus, anterior division",0,0.17651513172142788
lucy,sub-041,"Middle Temporal Gyrus, anterior division",1,0.16658288466205978
lucy,sub-041,"Middle Temporal Gyrus, anterior division",2,0.15647859771958747
lucy,sub-041,"Middle Temporal Gyrus, anterior division",3,0.14630608311195367
lucy,sub-041,"Middle Temporal Gyrus, anterior division",4,0.13608460432074534
lucy,sub-041,"Middle Temporal Gyrus, anterior division",5,0.12584763128881304
lucy,sub-041,"Middle Temporal Gyrus, anterior division",6,0.11559457488313118
lucy,sub-041,"Middle Temporal Gyrus, posterior division",0,0.3593104722905359
lucy,sub-041,"Middle Temporal Gyrus, posterior division",1,0.35204739896368326
lucy,sub-041,"Middle Temporal Gyrus, posterior division",2,0.34405026332136757
lucy,sub-041,"Middle Temporal Gyrus, posterior division",3,0.3358449689383501
lucy,sub-041,"Middle Temporal Gyrus, posterior division",4,0.32761612192471556
lucy,sub-041,"Middle Temporal Gyrus, posterior division",5,0.3191489540969942
lucy,sub-041,"Middle Temporal Gyrus, posterior division",6,0.3105624570951252
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",0,-0.03213922189190846
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",1,-0.037200947426935665
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",2,-0.0418530047359336
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",3,-0.046231743912287605
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",4,-0.05075773494394582
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",5,-0.05493902468570445
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",6,-0.059146856466045075
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",0,0.41639389749715167
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",1,0.4223921174285948
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",2,0.4284044465932278
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",3,0.43439982818322537
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",4,0.43987650290764563
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",5,0.4453024014314313
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",6,0.45045543047578146
lucy,sub-041,Angular Gyrus,0,0.38029457293799807
lucy,sub-041,Angular Gyrus,1,0.3876768850021777
lucy,sub-041,Angular Gyrus,2,0.3948098553413764
lucy,sub-041,Angular Gyrus,3,0.40190653160722656
lucy,sub-041,Angular Gyrus,4,0.40873253177902547
lucy,sub-041,Angular Gyrus,5,0.41529861850635197
lucy,sub-041,Angular Gyrus,6,0.42174796474363235
lucy,sub-041,"Supramarginal Gyrus, anterior division",0,0.09379347605748961
lucy,sub-041,"Supramarginal Gyrus, anterior division",1,0.0992654578400469
lucy,sub-041,"Supramarginal Gyrus, anterior division",2,0.10490957866035978
lucy,sub-041,"Supramarginal Gyrus, anterior division",3,0.11102485127609613
lucy,sub-041,"Supramarginal Gyrus, anterior division",4,0.1165460889779659
lucy,sub-041,"Supramarginal Gyrus, anterior division",5,0.12202891075545008
lucy,sub-041,"Supramarginal Gyrus, anterior division",6,0.12725289503604645
lucy,sub-041,"Supramarginal Gyrus, posterior division",0,0.09606563769483617
lucy,sub-041,"Supramarginal Gyrus, posterior division",1,0.10148366633065972
lucy,sub-041,"Supramarginal Gyrus, posterior division",2,0.10709347229134528
lucy,sub-041,"Supramarginal Gyrus, posterior division",3,0.1132915590251891
lucy,sub-041,"Supramarginal Gyrus, posterior division",4,0.1190879371413346
lucy,sub-041,"Supramarginal Gyrus, posterior division",5,0.12477004961245826
lucy,sub-041,"Supramarginal Gyrus, posterior division",6,0.1302864991362753
lucy,sub-041,Frontal Pole,0,0.22997556145905199
lucy,sub-041,Frontal Pole,1,0.22611750934981842
lucy,sub-041,Frontal Pole,2,0.22304936180334267
lucy,sub-041,Frontal Pole,3,0.2196100976569931
lucy,sub-041,Frontal Pole,4,0.21529724546562176
