story,subject,roi,lag,r
lucy,sub-026,"Superior Temporal Gyrus, anterior division",-3,0.1555987949339343
lucy,sub-026,"Superior Temporal Gyrus, anterior division",-2,0.1586371350466412
lucy,sub-026,"Superior Temporal Gyrus, anterior division",-1,0.16158489098102652
lucy,sub-026,"Superior Temporal Gyrus, anterior division",0,0.1640801542845336
lucy,sub-026,"Superior Temporal Gyrus, anterior division",1,0.16548996661548826
lucy,sub-026,"Superior Temporal Gyrus, anterior division",2,0.1665791182419284
lucy,sub-026,"Superior Temporal Gyrus, anterior division",3,0.16752274690150884
lucy,sub-026,"Superior Temporal Gyrus, anterior division",4,0.16827183019337866
lucy,sub-026,"Superior Temporal Gyrus, anterior division",5,0.16890593540285379
lucy,sub-026,"Superior Temporal Gyrus, anterior division",6,0.16953322490326284
lucy,sub-026,"Superior Temporal Gyrus, anterior division",7,0.17007179803319067
lucy,sub-026,"Superior Temporal Gyrus, anterior division",8,0.17040428352695355
lucy,sub-026,"Superior Temporal Gyrus, posterior division",-3,0.15920864134347815
lucy,sub-026,"Superior Temporal Gyrus, posterior division",-2,0.1575201672266383
lucy,sub-026,"Superior Temporal Gyrus, posterior division",-1,0.15550778492570203
lucy,sub-026,"Superior Temporal Gyrus, posterior division",0,0.15308469500539912
lucy,sub-026,"Superior Temporal Gyrus, posterior division",1,0.14911888570838375
lucy,sub-026,"Superior Temporal Gyrus, posterior division",2,0.1452236641894499
lucy,sub-026,"Superior Temporal Gyrus, posterior division",3,0.14101446344662041
lucy,sub-026,"Superior Temporal Gyrus, posterior division",4,0.13666116978448725
lucy,sub-026,"Superior Temporal Gyrus, posterior division",5,0.13210393987718347
lucy,sub-026,"Superior Temporal Gyrus, posterior division",6,0.1274963930999714
lucy,sub-026,"Superior Temporal Gyrus, posterior division",7,0.12368771330884018
lucy,sub-026,"Superior Temporal Gyrus, posterior division",8,0.11953330247053748
lucy,sub-026,"Middle Temporal Gyrus, anterior division",-3,0.24396163969411944
lucy,sub-026,"Middle Temporal Gyrus, anterior division",-2,0.2432826105828086
lucy,sub-026,"Middle Temporal Gyrus, anterior division",-1,0.2422683945700716
lucy,sub-026,"Middle Temporal Gyrus, anterior division",0,0.2408635160208032
lucy,sub-026,"Middle Temporal Gyrus, anterior division",1,0.23842374453854367
lucy,sub-026,"Middle Temporal Gyrus, anterior division",2,0.2358722989409131
lucy,sub-026,"Middle Temporal Gyrus, anterior division",3,0.23318086243454902
lucy,sub-026,"Middle Temporal Gyrus, anterior division",4,0.23020775706213203
lucy,sub-026,"Middle Temporal Gyrus, anterior division",5,0.22723489458419666
lucy,sub-026,"Middle Temporal Gyrus, anterior division",6,0.22403444980106238
lucy,sub-026,"Middle Temporal Gyrus, anterior division",7,0.2209329411693631
lucy,sub-026,"Middle Temporal Gyrus, anterior division",8,0.21773346054254428
lucy,sub-026,"Middle Temporal Gyrus, posterior division",-3,0.24149086052640878
lucy,sub-026,"Middle Temporal Gyrus, posterior division",-2,0.24160535013987838
lucy,sub-026,"Middle Temporal Gyrus, posterior division",-1,0.24184547949625151
lucy,sub-026,"Middle Temporal Gyrus, posterior division",0,0.2412390065820535
lucy,sub-026,"Middle Temporal Gyrus, posterior division",1,0.24099316083693872
lucy,sub-026,"Middle Temporal Gyrus, posterior division",2,0.24046140910217
lucy,sub-026,"Middle Temporal Gyrus, posterior division",3,0.23971155126868085
lucy,sub-026,"Middle Temporal Gyrus, posterior division",4,0.23882415899016585
lucy,sub-026,"Middle Temporal Gyrus, posterior division",5,0.23786651575674983
lucy,sub-026,"Middle Temporal Gyrus, posterior division",6,0.23676126794384672
lucy,sub-026,"Middle Temporal Gyrus, posterior division",7,0.23558268763493787
lucy,sub-026,"Middle Temporal Gyrus, posterior division",8,0.23421834050096527
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",-3,0.04390497083859381
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",-2,0.04608866262494283
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",-1,0.04805330579479222
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",0,0.05013706546563479
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",1,0.052483199996509876
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",2,0.0549964710720463
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",3,0.05709197430966561
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",4,0.05939768782693536
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",5,0.0635526056882199
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",6,0.06734176141235154
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",7,0.06958144973618785
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",8,0.07241186275800374
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",-3,-0.05781679620662021
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",-2,-0.05522491448536585
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",-1,-0.0529715695805876
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",0,-0.05048362355447094
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",1,-0.04851400039514301
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",2,-0.04652057318973694
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",3,-0.0444905272720479
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",4,-0.04242200567528186
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",5,-0.03966308525432406
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",6,-0.03681731965086272
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",7,-0.034653742767214245
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",8,-0.03201161410183226
lucy,sub-026,Angular Gyrus,-3,0.21083178400904015
lucy,sub-026,Angular Gyrus,-2,0.21462715224678364
lucy,sub-026,Angular Gyrus,-1,0.21831238909612885
lucy,sub-026,Angular Gyrus,0,0.22113250646625576
lucy,sub-026,Angular Gyrus,1,0.2249732871412413
lucy,sub-026,Angular Gyrus,2,0.22862536007415493
lucy,sub-026,Angular Gyrus,3,0.23217293016737778
lucy,sub-026,Angular Gyrus,4,0.2356550271064676
lucy,sub-026,Angular Gyrus,5,0.23906890343282736
lucy,sub-026,Angular Gyrus,6,0.24321618970499484
lucy,sub-026,Angular Gyrus,7,0.24653436968692305
lucy,sub-026,Angular Gyrus,8,0.24983536079657215
lucy,sub-026,"Supramarginal Gyrus, anterior division",-3,0.04973816289233779
lucy,sub-026,"Supramarginal Gyrus, anterior division",-2,0.053870283105077243
lucy,sub-026,"Supramarginal Gyrus, anterior division",-1,0.057758631094471005
lucy,sub-026,"Supramarginal Gyrus, anterior division",0,0.061292950360369546
lucy,sub-026,"Supramarginal Gyrus, anterior division",1,0.06407132311200414
lucy,sub-026,"Supramarginal Gyrus, anterior division",2,0.06630337731790198
lucy,sub-026,"Supramarginal Gyrus, anterior division",3,0.06858304829326084
lucy,sub-026,"Supramarginal Gyrus, anterior division",4,0.07062178337472652
lucy,sub-026,"Supramarginal Gyrus, anterior division",5,0.07271555584156755
lucy,sub-026,"Supramarginal Gyrus, anterior division",6,0.07501138165629098
lucy,sub-026,"Supramarginal Gyrus, anterior division",7,0.07677256457499247
lucy,sub-026,"Supramarginal Gyrus, anterior division",8,0.0784058274238189
lucy,sub-026,"Supramarginal Gyrus, posterior division",-3,0.06085554877380965
lucy,sub-026,"Supramarginal Gyrus, posterior division",-2,0.06503786342506035
lucy,sub-026,"Supramarginal Gyrus, posterior division",-1,0.06903377966811934
lucy,sub-026,"Supramarginal Gyrus, posterior division",0,0.07265218610396933
lucy,sub-026,"Supramarginal Gyrus, posterior division",1,0.07612652047096935
lucy,sub-026,"Supramarginal Gyrus, posterior division",2,0.0791886226574272
lucy,sub-026,"Supramarginal Gyrus, posterior division",3,0.08224703817898613
lucy,sub-026,"Supramarginal Gyrus, posterior division",4,0.08508894142822498
lucy,sub-026,"Supramarginal Gyrus, posterior division",5,0.08813217559211615
lucy,sub-026,"Supramarginal Gyrus, posterior division",6,0.09145682933642219
lucy,sub-026,"Supramarginal Gyrus, posterior division",7,0.09401327106373794
lucy,sub-026,"Supramarginal Gyrus, posterior division",8,0.09650263119356536
lucy,sub-026,Frontal Pole,-3,0.2245912488852925
lucy,sub-026,Frontal Pole,-2,0.22576951618249452
lucy,sub-026,Frontal Pole,-1,0.2272906427207234
lucy,sub-026,Frontal Pole,0,0.2285170705195584
lucy,sub-026,Frontal Pole,1,0.22888613684515546
lucy,sub-026,Frontal Pole,2,0.22911026947863128
lucy,sub-026,Frontal Pole,3,0.22923655681948502
lucy,sub-026,Frontal Pole,4,0.22909493161639877
lucy,sub-026,Frontal Pole,5,0.2288286755167097
lucy,sub-026,Frontal Pole,6,0.2283557762518174
lucy,sub-026,Frontal Pole,7,0.22810314265023607
lucy,sub-026,Frontal Pole,8,0.22753855443441495
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",-3,0.27710772382822224
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",-2,0.27622737466814506
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",-1,0.2752878477106568
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",0,0.27413593774533734
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",1,0.2726055885898257
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",2,0.2706774011489428
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",3,0.2685735246038391
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",4,0.2662776873357777
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",5,0.26415616270513437
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",6,0.2625029084894511
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",7,0.25966993878812833
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",8,0.25678619140968495
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",-3,0.2677405547681736
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",-2,0.2677224029589666
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",-1,0.26747133594047284
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",0,0.2669621992879813
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",1,0.26593240862705747
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",2,0.26463668573666127
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",3,0.26313295963019967
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",4,0.2616223515207916
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",5,0.2598844330542845
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",6,0.2583440731750442
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",7,0.25606393923444903
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",8,0.2537400978571542
lucy,sub-026,"Parahippocampal Gyrus, anterior division",-3,0.29081607926076924
lucy,sub-026,"Parahippocampal Gyrus, anterior division",-2,0.2911943444398477
lucy,sub-026,"Parahippocampal Gyrus, anterior division",-1,0.2917692733726908
lucy,sub-026,"Parahippocampal Gyrus, anterior division",0,0.29244735268469363
lucy,sub-026,"Parahippocampal Gyrus, anterior division",1,0.29288636988143885
lucy,sub-026,"Parahippocampal Gyrus, anterior division",2,0.29293228584427244
lucy,sub-026,"Parahippocampal Gyrus, anterior division",3,0.29277557723072656
lucy,sub-026,"Parahippocampal Gyrus, anterior division",4,0.2924283714511133
lucy,sub-026,"Parahippocampal Gyrus, anterior division",5,0.29192220931037693
lucy,sub-026,"Parahippocampal Gyrus, anterior division",6,0.29204157907790634
lucy,sub-026,"Parahippocampal Gyrus, anterior division",7,0.2912093064939098
lucy,sub-026,"Parahippocampal Gyrus, anterior division",8,0.29033996698859665
lucy,sub-026,"Parahippocampal Gyrus, posterior division",-3,0.20223502175907782
lucy,sub-026,"Parahippocampal Gyrus, posterior division",-2,0.2050026813044245
lucy,sub-026,"Parahippocampal Gyrus, posterior division",-1,0.20750908373545032
lucy,sub-026,"Parahippocampal Gyrus, posterior division",0,0.20963286778450127
lucy,sub-026,"Parahippocampal Gyrus, posterior division",1,0.2106845473182321
lucy,sub-026,"Parahippocampal Gyrus, posterior division",2,0.2115811640065121
lucy,sub-026,"Parahippocampal Gyrus, posterior division",3,0.21241723349004227
lucy,sub-026,"Parahippocampal Gyrus, posterior division",4,0.21315260643149808
lucy,sub-026,"Parahippocampal Gyrus, posterior division",5,0.21378675162331864
lucy,sub-026,"Parahippocampal Gyrus, posterior division",6,0.214172425391568
lucy,sub-026,"Parahippocampal Gyrus, posterior division",7,0.21425911067710002
lucy,sub-026,"Parahippocampal Gyrus, posterior division",8,0.21425580877104117
lucy,sub-026,"Cingulate Gyrus, anterior division",-3,0.16299623319859222
lucy,sub-026,"Cingulate Gyrus, anterior division",-2,0.16565368605668038
lucy,sub-026,"Cingulate Gyrus, anterior division",-1,0.1682601087433628
lucy,sub-026,"Cingulate Gyrus, anterior division",0,0.1705545281993124
lucy,sub-026,"Cingulate Gyrus, anterior division",1,0.17161653328070875
lucy,sub-026,"Cingulate Gyrus, anterior division",2,0.1725055627033589
lucy,sub-026,"Cingulate Gyrus, anterior division",3,0.17316916859922887
lucy,sub-026,"Cingulate Gyrus, anterior division",4,0.17368228845115455
lucy,sub-026,"Cingulate Gyrus, anterior division",5,0.17406573439587247
lucy,sub-026,"Cingulate Gyrus, anterior division",6,0.1743112242233399
lucy,sub-026,"Cingulate Gyrus, anterior division",7,0.17440714485184314
lucy,sub-026,"Cingulate Gyrus, anterior division",8,0.1745168389577752
lucy,sub-026,"Cingulate Gyrus, posterior division",-3,0.14575727684658943
