story,subject,roi,r,p,p_emp,lag,mean_r_shuffled,std_r_shuffled,z_score,TR,duration,onset,q_roi,signif_roi_fdr
lucy,sub-026,"Superior Temporal Gyrus, anterior division",0.1695,0.001346,0.008899,6,0.0004,0.0902,1.8752,1.5,542.0,3.0,0.013235,True
lucy,sub-026,"Superior Temporal Gyrus, posterior division",0.1575,0.002765,0.021898,-2,0.0012,0.094,1.6636,1.5,542.0,3.0,0.029197,True
lucy,sub-026,"Middle Temporal Gyrus, anterior division",0.2433,3e-06,0.0001,-2,0.0017,0.0915,2.6419,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Middle Temporal Gyrus, posterior division",0.2418,3e-06,0.0001,-1,-0.0003,0.0866,2.7978,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",0.0673,0.20561,0.743226,6,0.001,0.0929,0.7147,1.5,542.0,3.0,0.792774,False
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",-0.0552,0.296719,0.89861,-2,-0.0005,0.095,-0.5758,1.5,542.0,3.0,0.89861,False
lucy,sub-026,Angular Gyrus,0.2432,4e-06,0.0001,6,0.0011,0.0949,2.552,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Supramarginal Gyrus, anterior division",0.075,0.158471,0.59734,6,-0.0001,0.0904,0.831,1.5,542.0,3.0,0.682674,False
lucy,sub-026,"Supramarginal Gyrus, posterior division",0.0915,0.085321,0.409559,6,-0.0007,0.0925,0.9965,1.5,542.0,3.0,0.504073,False
lucy,sub-026,Frontal Pole,0.2292,1.2e-05,0.0003,3,-0.0003,0.0858,2.6741,1.5,542.0,3.0,0.0006,True
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",0.2762,0.0,0.0001,-2,-0.0006,0.0818,3.3831,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",0.2677,0.0,0.0001,-2,0.0006,0.0831,3.2154,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Parahippocampal Gyrus, anterior division",0.2929,0.0,0.0001,2,0.0001,0.0834,3.5111,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Parahippocampal Gyrus, posterior division",0.2142,4.7e-05,0.0003,6,0.0014,0.0843,2.5234,1.5,542.0,3.0,0.0006,True
lucy,sub-026,"Cingulate Gyrus, anterior division",0.1743,0.000974,0.005,6,-0.0004,0.085,2.0563,1.5,542.0,3.0,0.008889,True
lucy,sub-026,"Cingulate Gyrus, posterior division",0.1674,0.001547,0.009099,6,-0.0003,0.0856,1.959,1.5,542.0,3.0,0.013235,True
lucy,sub-041,"Superior Temporal Gyrus, anterior division",0.1982,0.000157,0.0018,-2,0.0001,0.0886,2.2356,1.5,542.0,3.0,0.002338,True
lucy,sub-041,"Superior Temporal Gyrus, posterior division",-0.4532,0.0,0.0001,6,0.0006,0.0841,-5.3953,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Middle Temporal Gyrus, anterior division",0.1953,0.000196,0.0019,-2,0.0022,0.0722,2.6739,1.5,542.0,3.0,0.002338,True
lucy,sub-041,"Middle Temporal Gyrus, posterior division",0.375,0.0,0.0001,-2,0.0001,0.0739,5.0731,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",-0.0592,0.266259,0.79652,6,0.001,0.0897,-0.6708,1.5,542.0,3.0,0.79652,False
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",0.4505,0.0,0.0001,6,0.0001,0.0847,5.3159,1.5,542.0,3.0,0.00016,True
lucy,sub-041,Angular Gyrus,0.4218,0.0,0.0001,6,0.0021,0.0886,4.7384,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Supramarginal Gyrus, anterior division",0.1272,0.01646,0.072493,6,0.0007,0.0828,1.5274,1.5,542.0,3.0,0.077326,False
lucy,sub-041,"Supramarginal Gyrus, posterior division",0.1303,0.014039,0.064394,6,-0.0005,0.0831,1.5731,1.5,542.0,3.0,0.073593,False
lucy,sub-041,Frontal Pole,0.2364,6e-06,0.0001,-2,0.0003,0.0976,2.4182,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",0.2003,0.000133,0.0016,-2,-0.0009,0.0893,2.2537,1.5,542.0,3.0,0.002327,True
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",0.347,0.0,0.0001,-2,0.0005,0.0848,4.0861,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Parahippocampal Gyrus, anterior division",0.4102,0.0,0.0001,6,0.0009,0.0961,4.2589,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Parahippocampal Gyrus, posterior division",0.4287,0.0,0.0001,-2,0.0017,0.0853,5.0065,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Cingulate Gyrus, anterior division",0.4248,0.0,0.0001,-2,-0.0003,0.0857,4.9615,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Cingulate Gyrus, posterior division",0.5112,0.0,0.0001,6,0.0003,0.0864,5.9124,1.5,542.0,3.0,0.00016,True
lucy,sub-052,"Superior Temporal Gyrus, anterior division",0.4398,0.0,0.0001,-2,0.0,0.0724,6.0771,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Superior Temporal Gyrus, posterior division",-0.1269,0.016777,0.058394,6,0.0016,0.0793,-1.6203,1.5,542.0,3.0,0.058394,False
lucy,sub-052,"Middle Temporal Gyrus, anterior division",0.177,0.000758,0.0042,-2,0.0016,0.0775,2.2628,1.5,542.0,3.0,0.00448,True
lucy,sub-052,"Middle Temporal Gyrus, posterior division",0.4797,0.0,0.0001,6,-0.0001,0.0711,6.7484,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Inferior Frontal Gyrus, pars triangularis",0.589,0.0,0.0001,6,0.0006,0.0755,7.7958,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Inferior Frontal Gyrus, pars opercularis",0.5577,0.0,0.0001,6,0.0014,0.0813,6.8447,1.5,542.0,3.0,0.000114,True
lucy,sub-052,Angular Gyrus,0.561,0.0,0.0001,6,0.0007,0.0729,7.6873,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Supramarginal Gyrus, anterior division",0.5637,0.0,0.0001,6,-0.0003,0.0729,7.7324,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Supramarginal Gyrus, posterior division",0.5555,0.0,0.0001,6,0.0005,0.0722,7.6892,1.5,542.0,3.0,0.000114,True
lucy,sub-052,Frontal Pole,0.3966,0.0,0.0001,-2,-0.0,0.0776,5.1113,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Temporal Fusiform Cortex, anterior division",0.2505,2e-06,0.0001,-2,-0.0003,0.0794,3.1586,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Temporal Fusiform Cortex, posterior division",0.3562,0.0,0.0001,-2,-0.0001,0.0765,4.6596,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Parahippocampal Gyrus, anterior division",0.4386,0.0,0.0001,-2,-0.0001,0.0817,5.3716,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Parahippocampal Gyrus, posterior division",0.3587,0.0,0.0001,-2,0.0012,0.0793,4.5045,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Cingulate Gyrus, anterior division",0.4549,0.0,0.0001,-2,0.0,0.0772,5.8953,1.5,542.0,3.0,0.000114,True
lucy,sub-052,"Cingulate Gyrus, posterior division",0.503,0.0,0.0001,6,-0.0008,0.0772,6.5293,1.5,542.0,3.0,0.000114,True
lucy,sub-053,"Superior Temporal Gyrus, anterior division",0.4303,0.0,0.0001,6,-0.0003,0.0704,6.1177,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Superior Temporal Gyrus, posterior division",0.3377,0.0,0.0001,6,0.001,0.0677,4.9743,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Middle Temporal Gyrus, anterior division",0.4699,0.0,0.0001,6,0.0001,0.0673,6.9827,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Middle Temporal Gyrus, posterior division",0.5401,0.0,0.0001,6,0.0001,0.0691,7.8168,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Inferior Frontal Gyrus, pars triangularis",0.2722,0.0,0.0001,6,0.0008,0.0952,2.8509,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Inferior Frontal Gyrus, pars opercularis",0.2513,1e-06,0.0001,-2,0.0015,0.0884,2.824,1.5,542.0,3.0,0.000107,True
lucy,sub-053,Angular Gyrus,0.1391,0.008296,0.023798,-2,0.0004,0.0729,1.9049,1.5,542.0,3.0,0.023798,True
lucy,sub-053,"Supramarginal Gyrus, anterior division",0.2995,0.0,0.0001,-2,-0.0008,0.0785,3.8233,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Supramarginal Gyrus, posterior division",0.268,0.0,0.0001,-2,-0.0005,0.0777,3.4533,1.5,542.0,3.0,0.000107,True
lucy,sub-053,Frontal Pole,0.3714,0.0,0.0001,6,-0.0007,0.0776,4.7955,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Temporal Fusiform Cortex, anterior division",0.4683,0.0,0.0001,6,0.0009,0.0846,5.5248,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Temporal Fusiform Cortex, posterior division",0.2915,0.0,0.0001,6,-0.0003,0.0827,3.5266,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Parahippocampal Gyrus, anterior division",0.4687,0.0,0.0001,6,0.0008,0.0845,5.5406,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Parahippocampal Gyrus, posterior division",0.4524,0.0,0.0001,6,0.0025,0.0758,5.9335,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Cingulate Gyrus, anterior division",0.4244,0.0,0.0001,6,0.0002,0.0836,5.0746,1.5,542.0,3.0,0.000107,True
lucy,sub-053,"Cingulate Gyrus, posterior division",0.2901,0.0,0.0001,-2,-0.0004,0.0808,3.5957,1.5,542.0,3.0,0.000107,True
lucy,sub-055,"Superior Temporal Gyrus, anterior division",0.3487,0.0,0.0001,-2,0.0016,0.0876,3.9639,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Superior Temporal Gyrus, posterior division",0.5042,0.0,0.0001,-2,0.0005,0.0918,5.4891,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Middle Temporal Gyrus, anterior division",0.3932,0.0,0.0001,-2,-0.001,0.092,4.2826,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Middle Temporal Gyrus, posterior division",0.3658,0.0,0.0001,-2,0.0023,0.093,3.9105,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Inferior Frontal Gyrus, pars triangularis",0.3298,0.0,0.0001,-2,-0.001,0.0896,3.6929,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Inferior Frontal Gyrus, pars opercularis",0.3058,0.0,0.0001,-2,0.0016,0.0904,3.3633,1.5,542.0,3.0,0.0001,True
lucy,sub-055,Angular Gyrus,0.2699,0.0,0.0001,6,0.0012,0.0919,2.9239,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Supramarginal Gyrus, anterior division",0.3881,0.0,0.0001,-2,-0.0002,0.085,4.5668,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Supramarginal Gyrus, posterior division",0.3027,0.0,0.0001,6,0.0007,0.0885,3.4136,1.5,542.0,3.0,0.0001,True
lucy,sub-055,Frontal Pole,0.5181,0.0,0.0001,-2,-0.0004,0.0902,5.7485,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Temporal Fusiform Cortex, anterior division",0.3989,0.0,0.0001,-2,0.0006,0.0907,4.3936,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Temporal Fusiform Cortex, posterior division",0.5283,0.0,0.0001,-2,-0.001,0.0842,6.2851,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Parahippocampal Gyrus, anterior division",0.5343,0.0,0.0001,6,0.0013,0.0849,6.2793,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Parahippocampal Gyrus, posterior division",0.5601,0.0,0.0001,-2,0.0017,0.0814,6.8554,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Cingulate Gyrus, anterior division",0.5257,0.0,0.0001,-2,0.0006,0.0859,6.1123,1.5,542.0,3.0,0.0001,True
lucy,sub-055,"Cingulate Gyrus, posterior division",0.427,0.0,0.0001,-2,0.0006,0.0844,5.05,1.5,542.0,3.0,0.0001,True
lucy,sub-056,"Superior Temporal Gyrus, anterior division",0.3647,0.0,0.0001,-2,-0.0,0.0693,5.2655,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Superior Temporal Gyrus, posterior division",0.3634,0.0,0.0001,6,0.0012,0.0928,3.9051,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Middle Temporal Gyrus, anterior division",0.4476,0.0,0.0001,-2,0.0013,0.0805,5.5466,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Middle Temporal Gyrus, posterior division",0.3773,0.0,0.0001,-2,0.0,0.0658,5.732,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Inferior Frontal Gyrus, pars triangularis",0.0732,0.166082,0.384362,-2,0.0007,0.0757,0.9592,1.5,542.0,3.0,0.384362,False
lucy,sub-056,"Inferior Frontal Gyrus, pars opercularis",0.1935,0.000225,0.001,-2,0.002,0.0717,2.6696,1.5,542.0,3.0,0.001067,True
lucy,sub-056,Angular Gyrus,0.4895,0.0,0.0001,-2,0.0005,0.0637,7.6731,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Supramarginal Gyrus, anterior division",0.3385,0.0,0.0001,-2,-0.0006,0.0657,5.1651,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Supramarginal Gyrus, posterior division",0.366,0.0,0.0001,-2,0.0003,0.0647,5.6511,1.5,542.0,3.0,0.000114,True
lucy,sub-056,Frontal Pole,0.4953,0.0,0.0001,-2,-0.0013,0.0775,6.4094,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Temporal Fusiform Cortex, anterior division",0.5395,0.0,0.0001,6,-0.0022,0.0841,6.4444,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Temporal Fusiform Cortex, posterior division",0.4476,0.0,0.0001,-2,-0.0003,0.0737,6.0795,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Parahippocampal Gyrus, anterior division",0.4411,0.0,0.0001,-2,0.0005,0.0734,6.0004,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Parahippocampal Gyrus, posterior division",0.4124,0.0,0.0001,-2,0.0017,0.0674,6.0986,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Cingulate Gyrus, anterior division",0.3451,0.0,0.0001,-2,-0.0003,0.0695,4.971,1.5,542.0,3.0,0.000114,True
lucy,sub-056,"Cingulate Gyrus, posterior division",0.3439,0.0,0.0001,-2,0.0005,0.0677,5.073,1.5,542.0,3.0,0.000114,True
lucy,sub-058,"Superior Temporal Gyrus, anterior division",0.3571,0.0,0.0001,6,-0.0005,0.0844,4.2365,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Superior Temporal Gyrus, posterior division",-0.1111,0.035374,0.192281,-2,0.0005,0.091,-1.2267,1.5,542.0,3.0,0.2051,False
lucy,sub-058,"Middle Temporal Gyrus, anterior division",0.1211,0.021348,0.115288,0,0.001,0.0891,1.3477,1.5,542.0,3.0,0.131758,False
lucy,sub-058,"Middle Temporal Gyrus, posterior division",0.4434,0.0,0.0001,5,-0.0,0.0723,6.1303,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Inferior Frontal Gyrus, pars triangularis",0.4858,0.0,0.0001,6,-0.0006,0.074,6.5715,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Inferior Frontal Gyrus, pars opercularis",0.4256,0.0,0.0001,6,0.0018,0.0758,5.5919,1.5,542.0,3.0,0.000123,True
lucy,sub-058,Angular Gyrus,0.438,0.0,0.0001,-2,0.0006,0.0676,6.4748,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Supramarginal Gyrus, anterior division",0.421,0.0,0.0001,6,-0.0004,0.0712,5.9225,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Supramarginal Gyrus, posterior division",0.4476,0.0,0.0001,5,0.0005,0.0682,6.5521,1.5,542.0,3.0,0.000123,True
lucy,sub-058,Frontal Pole,0.4698,0.0,0.0001,6,-0.0003,0.0827,5.6831,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Temporal Fusiform Cortex, anterior division",0.032,0.545407,0.994301,-2,0.0018,0.092,0.3285,1.5,542.0,3.0,0.994301,False
lucy,sub-058,"Temporal Fusiform Cortex, posterior division",0.5124,0.0,0.0001,6,-0.0001,0.0721,7.1119,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Parahippocampal Gyrus, anterior division",0.5403,0.0,0.0001,6,0.0011,0.0779,6.9185,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Parahippocampal Gyrus, posterior division",0.4211,0.0,0.0001,4,0.0018,0.0747,5.6142,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Cingulate Gyrus, anterior division",0.3933,0.0,0.0001,6,0.0002,0.0779,5.047,1.5,542.0,3.0,0.000123,True
lucy,sub-058,"Cingulate Gyrus, posterior division",0.3886,0.0,0.0001,3,-0.0004,0.0726,5.3606,1.5,542.0,3.0,0.000123,True
lucy,sub-059,"Superior Temporal Gyrus, anterior division",0.0546,0.305344,0.751625,6,-0.0007,0.0832,0.6643,1.5,542.0,3.0,0.925077,False
lucy,sub-059,"Superior Temporal Gyrus, posterior division",0.1206,0.023035,0.072793,6,0.0011,0.0761,1.5708,1.5,542.0,3.0,0.232938,False
lucy,sub-059,"Middle Temporal Gyrus, anterior division",0.1556,0.003286,0.012999,6,0.0011,0.0762,2.0277,1.5,542.0,3.0,0.103992,False
lucy,sub-059,"Middle Temporal Gyrus, posterior division",0.2693,0.0,0.0001,6,-0.0001,0.079,3.4088,1.5,542.0,3.0,0.0016,True
lucy,sub-059,"Inferior Frontal Gyrus, pars triangularis",-0.095,0.072227,0.261874,-2,0.0004,0.0827,-1.1537,1.5,542.0,3.0,0.523748,False
