story,subject,roi,r,p,p_emp,lag,mean_r_shuffled,std_r_shuffled,z_score,TR,duration,onset,q_roi,signif_roi_fdr
lucy,sub-026,"Superior Temporal Gyrus, anterior division",0.1704,0.00131,0.011699,8,0.0003,0.0963,1.7674,1.5,542.0,3.0,0.016574,True
lucy,sub-026,"Superior Temporal Gyrus, posterior division",0.1592,0.00252,0.025697,-3,0.0004,0.1,1.5876,1.5,542.0,3.0,0.033604,True
lucy,sub-026,"Middle Temporal Gyrus, anterior division",0.2439,3e-06,0.0001,-3,0.0019,0.0971,2.4922,1.5,542.0,3.0,0.000283,True
lucy,sub-026,"Middle Temporal Gyrus, posterior division",0.2418,3e-06,0.0001,-1,-0.0002,0.092,2.6312,1.5,542.0,3.0,0.000283,True
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",0.0724,0.174624,0.770423,8,0.002,0.099,0.711,1.5,542.0,3.0,0.818574,False
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",-0.0578,0.275288,0.934607,-3,-0.0003,0.101,-0.5696,1.5,542.0,3.0,0.934607,False
lucy,sub-026,Angular Gyrus,0.2498,2e-06,0.0001,8,0.0023,0.1008,2.4556,1.5,542.0,3.0,0.000283,True
lucy,sub-026,"Supramarginal Gyrus, anterior division",0.0784,0.141502,0.644636,8,0.0007,0.0965,0.8049,1.5,542.0,3.0,0.730587,False
lucy,sub-026,"Supramarginal Gyrus, posterior division",0.0965,0.070136,0.436356,8,-0.0006,0.0989,0.981,1.5,542.0,3.0,0.529861,False
lucy,sub-026,Frontal Pole,0.2292,1.2e-05,0.0004,3,-0.0005,0.0913,2.5159,1.5,542.0,3.0,0.00085,True
lucy,sub-026,Precuneous Cortex,0.1957,0.000217,0.0018,8,-0.0001,0.0962,2.0356,1.5,542.0,3.0,0.0034,True
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",0.2771,0.0,0.0001,-3,0.0004,0.086,3.2176,1.5,542.0,3.0,0.000283,True
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",0.2677,0.0,0.0001,-3,0.0004,0.0877,3.0484,1.5,542.0,3.0,0.000283,True
lucy,sub-026,"Parahippocampal Gyrus, anterior division",0.2929,0.0,0.0001,2,0.0013,0.0881,3.3095,1.5,542.0,3.0,0.000283,True
lucy,sub-026,"Parahippocampal Gyrus, posterior division",0.2143,4.8e-05,0.0003,7,-0.0013,0.0899,2.3961,1.5,542.0,3.0,0.000729,True
lucy,sub-026,"Cingulate Gyrus, anterior division",0.1745,0.000993,0.005599,8,-0.0011,0.0901,1.9504,1.5,542.0,3.0,0.009518,True
lucy,sub-026,"Cingulate Gyrus, posterior division",0.1698,0.001365,0.011399,8,0.0,0.0924,1.8362,1.5,542.0,3.0,0.016574,True
lucy,sub-041,"Superior Temporal Gyrus, anterior division",0.2077,7.5e-05,0.0013,-3,0.0002,0.0946,2.194,1.5,542.0,3.0,0.0017,True
lucy,sub-041,"Superior Temporal Gyrus, posterior division",-0.4741,0.0,0.0001,8,0.0004,0.0888,-5.343,1.5,542.0,3.0,0.000155,True
lucy,sub-041,"Middle Temporal Gyrus, anterior division",0.2049,9.4e-05,0.0015,-3,0.0022,0.0757,2.6754,1.5,542.0,3.0,0.001821,True
lucy,sub-041,"Middle Temporal Gyrus, posterior division",0.3826,0.0,0.0001,-3,-0.0002,0.0776,4.9357,1.5,542.0,3.0,0.000155,True
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",-0.0671,0.20828,0.789121,8,0.0011,0.0958,-0.7127,1.5,542.0,3.0,0.789121,False
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",0.4607,0.0,0.0001,8,0.0001,0.0904,5.0936,1.5,542.0,3.0,0.000155,True
lucy,sub-041,Angular Gyrus,0.4337,0.0,0.0001,8,0.0018,0.0945,4.5709,1.5,542.0,3.0,0.000155,True
lucy,sub-041,"Supramarginal Gyrus, anterior division",0.1371,0.009911,0.055494,8,0.0003,0.0879,1.5562,1.5,542.0,3.0,0.058962,False
lucy,sub-041,"Supramarginal Gyrus, posterior division",0.1405,0.008199,0.047095,8,-0.0009,0.0882,1.6031,1.5,542.0,3.0,0.053374,False
lucy,sub-041,Frontal Pole,0.2399,4e-06,0.0001,-3,0.0009,0.1036,2.3076,1.5,542.0,3.0,0.000155,True
lucy,sub-041,Precuneous Cortex,0.5156,0.0,0.0001,8,0.0004,0.0896,5.747,1.5,542.0,3.0,0.000155,True
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",0.2021,0.000118,0.0012,-3,0.0003,0.0941,2.1435,1.5,542.0,3.0,0.0017,True
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",0.3481,0.0,0.0001,-3,0.0007,0.09,3.8586,1.5,542.0,3.0,0.000155,True
lucy,sub-041,"Parahippocampal Gyrus, anterior division",0.4114,0.0,0.0001,8,0.0025,0.1016,4.0243,1.5,542.0,3.0,0.000155,True
lucy,sub-041,"Parahippocampal Gyrus, posterior division",0.4303,0.0,0.0001,-3,-0.0002,0.0905,4.7586,1.5,542.0,3.0,0.000155,True
lucy,sub-041,"Cingulate Gyrus, anterior division",0.4254,0.0,0.0001,-3,-0.0,0.09,4.7259,1.5,542.0,3.0,0.000155,True
lucy,sub-041,"Cingulate Gyrus, posterior division",0.5139,0.0,0.0001,8,0.0004,0.0922,5.5719,1.5,542.0,3.0,0.000155,True
