story,subject,roi,r,p,p_emp,lag,mean_r_shuffled,std_r_shuffled,z_score,TR,duration,onset,q_roi,signif_roi_fdr
lucy,sub-026,"Superior Temporal Gyrus, anterior division",0.1704,0.00131,0.011699,8,0.0003,0.0963,1.7674,1.5,542.0,3.0,0.017017,True
lucy,sub-026,"Superior Temporal Gyrus, posterior division",0.1592,0.002518,0.025697,-3,0.0004,0.1,1.5878,1.5,542.0,3.0,0.034263,True
lucy,sub-026,"Middle Temporal Gyrus, anterior division",0.244,3e-06,0.0001,-3,0.0019,0.0971,2.4923,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Middle Temporal Gyrus, posterior division",0.2418,3e-06,0.0001,-1,-0.0002,0.092,2.6312,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Inferior Frontal Gyrus, pars triangularis",0.0724,0.174637,0.770423,8,0.002,0.099,0.711,1.5,542.0,3.0,0.821785,False
lucy,sub-026,"Inferior Frontal Gyrus, pars opercularis",-0.0578,0.275259,0.934407,-3,-0.0003,0.101,-0.5696,1.5,542.0,3.0,0.934407,False
lucy,sub-026,Angular Gyrus,0.2498,2e-06,0.0001,8,0.0023,0.1008,2.4556,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Supramarginal Gyrus, anterior division",0.0784,0.141521,0.644736,8,0.0007,0.0965,0.8047,1.5,542.0,3.0,0.736841,False
lucy,sub-026,"Supramarginal Gyrus, posterior division",0.0965,0.070154,0.436356,8,-0.0006,0.0989,0.9809,1.5,542.0,3.0,0.537054,False
lucy,sub-026,Frontal Pole,0.2292,1.2e-05,0.0004,3,-0.0005,0.0913,2.5161,1.5,542.0,3.0,0.0008,True
lucy,sub-026,"Temporal Fusiform Cortex, anterior division",0.2771,0.0,0.0001,-3,-0.0009,0.086,3.2324,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Temporal Fusiform Cortex, posterior division",0.2677,0.0,0.0001,-3,0.0,0.088,3.0419,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Parahippocampal Gyrus, anterior division",0.2929,0.0,0.0001,2,0.0002,0.0879,3.3292,1.5,542.0,3.0,0.000267,True
lucy,sub-026,"Parahippocampal Gyrus, posterior division",0.2143,4.8e-05,0.0003,7,0.001,0.09,2.3697,1.5,542.0,3.0,0.000686,True
lucy,sub-026,"Cingulate Gyrus, anterior division",0.1745,0.000993,0.006899,8,-0.0002,0.0909,1.9209,1.5,542.0,3.0,0.012265,True
lucy,sub-026,"Cingulate Gyrus, posterior division",0.1698,0.001365,0.010199,8,-0.0009,0.0915,1.8647,1.5,542.0,3.0,0.016318,True
lucy,sub-041,"Superior Temporal Gyrus, anterior division",0.2077,7.5e-05,0.0013,-3,0.0002,0.0946,2.1936,1.5,542.0,3.0,0.001891,True
lucy,sub-041,"Superior Temporal Gyrus, posterior division",-0.4741,0.0,0.0001,8,0.0004,0.0888,-5.3432,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Middle Temporal Gyrus, anterior division",0.2048,9.5e-05,0.0015,-3,0.0022,0.0757,2.6749,1.5,542.0,3.0,0.001969,True
lucy,sub-041,"Middle Temporal Gyrus, posterior division",0.3826,0.0,0.0001,-3,-0.0002,0.0776,4.9353,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Inferior Frontal Gyrus, pars triangularis",-0.0671,0.208198,0.788721,8,0.0012,0.0958,-0.713,1.5,542.0,3.0,0.788721,False
lucy,sub-041,"Inferior Frontal Gyrus, pars opercularis",0.4607,0.0,0.0001,8,0.0001,0.0904,5.0936,1.5,542.0,3.0,0.00016,True
lucy,sub-041,Angular Gyrus,0.4337,0.0,0.0001,8,0.0018,0.0945,4.571,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Supramarginal Gyrus, anterior division",0.1371,0.009902,0.055494,8,0.0003,0.0879,1.5564,1.5,542.0,3.0,0.059194,False
lucy,sub-041,"Supramarginal Gyrus, posterior division",0.1405,0.008191,0.047095,8,-0.0009,0.0882,1.6033,1.5,542.0,3.0,0.053823,False
lucy,sub-041,Frontal Pole,0.2399,4e-06,0.0001,-3,0.0009,0.1036,2.3074,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Temporal Fusiform Cortex, anterior division",0.2021,0.000118,0.0016,-3,-0.0006,0.0942,2.1505,1.5,542.0,3.0,0.001969,True
lucy,sub-041,"Temporal Fusiform Cortex, posterior division",0.3481,0.0,0.0001,-3,0.0005,0.0898,3.8696,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Parahippocampal Gyrus, anterior division",0.4114,0.0,0.0001,8,0.0016,0.1015,4.0379,1.5,542.0,3.0,0.00016,True
lucy,sub-041,"Parahippocampal Gyrus, posterior division",0.4303,0.0,0.0001,-3,0.0017,0.09,4.7618,1.5,542.0,3.0,0.00016,True
